Ind_ID,length_mm,weight_g,species,SIA_Type,Relative_TP
18_0_11,21,1.25,Abraliopsis gilchristi,Glx_Lys,3.36
18_0_13,27,2.5,Abraliopsis gilchristi,Glx_Lys,3.54
19_0_18,43,4.9,Abraliopsis gilchristi,Glx_Lys,4.15
20_0_1,35,3.5,Abraliopsis gilchristi,Glx_Lys,3.8
17_0_8,95,7,Leachia pacificus,Glx_Lys,2.67
18_0_51,54,0.6,Leachia pacificus,Glx_Lys,2.51
19_0_52,97,4.3,Leachia pacificus,Glx_Lys,2.39
21_0_14,57,0.65,Leachia pacificus,Glx_Lys,2.62
24_0_12,77,1.3,Leachia pacificus,Glx_Lys,2.45
26_4_1,87,8,Leachia pacificus,Glx_Lys,2.24
18_0_11,21,1.25,Abraliopsis gilchristi,Glx_Phe,3.9
18_0_13,27,2.5,Abraliopsis gilchristi,Glx_Phe,3.99
19_0_18,43,4.9,Abraliopsis gilchristi,Glx_Phe,4.28
20_0_1,35,3.5,Abraliopsis gilchristi,Glx_Phe,NA
17_0_8,95,7,Leachia pacificus,Glx_Phe,3.04
18_0_51,54,0.6,Leachia pacificus,Glx_Phe,2.86
19_0_52,97,4.3,Leachia pacificus,Glx_Phe,2.8
21_0_14,57,0.65,Leachia pacificus,Glx_Phe,2.96
24_0_12,77,1.3,Leachia pacificus,Glx_Phe,2.77
26_4_1,87,8,Leachia pacificus,Glx_Phe,2.76
18_0_11,21,1.25,Abraliopsis gilchristi,Tr_Sr,NA
18_0_13,27,2.5,Abraliopsis gilchristi,Tr_Sr,4.17
19_0_18,43,4.9,Abraliopsis gilchristi,Tr_Sr,NA
20_0_1,35,3.5,Abraliopsis gilchristi,Tr_Sr,NA
17_0_8,95,7,Leachia pacificus,Tr_Sr,2.88
18_0_51,54,0.6,Leachia pacificus,Tr_Sr,NA
19_0_52,97,4.3,Leachia pacificus,Tr_Sr,2.52
21_0_14,57,0.65,Leachia pacificus,Tr_Sr,NA
24_0_12,77,1.3,Leachia pacificus,Tr_Sr,NA
26_4_1,87,8,Leachia pacificus,Tr_Sr,NA
18_0_11,21,1.25,Abraliopsis gilchristi,Bulk,2.606677941
18_0_13,27,2.5,Abraliopsis gilchristi,Bulk,3.066482953
19_0_18,43,4.9,Abraliopsis gilchristi,Bulk,3.825299779
20_0_1,35,3.5,Abraliopsis gilchristi,Bulk,3.423411803
17_0_8,95,7,Leachia pacificus,Bulk,2.75447312
18_0_51,54,0.6,Leachia pacificus,Bulk,2.662895487
19_0_52,97,4.3,Leachia pacificus,Bulk,2.812080554
21_0_14,57,0.65,Leachia pacificus,Bulk,2.556600829
24_0_12,77,1.3,Leachia pacificus,Bulk,2.725979957
26_4_1,87,8,Leachia pacificus,Bulk,3.013462876
