samplingID,operation,Ceph_species,length_mm,weight_g,dN15_BCS,Baseline_CS,Ind_ID
OP18CENA,18,Abraliopsis gilchristi,21,1.25,3.52,Lys,18_0_11
OP18CENA,18,Abraliopsis gilchristi,27,2.5,3.6,Lys,18_0_13
OP19CENA,19,Abraliopsis gilchristi,43,4.9,5.17,Lys,19_0_18
OP20CENA,20,Abraliopsis gilchristi,35,3.5,6.61,Lys,20_0_1
OP18CENA,18,Leachia pacificus,54,0.6,4.9,Lys,18_0_51
OP17CENA,17,Leachia pacificus,95,7,4.47,Lys,17_0_8
OP19CENA,19,Leachia pacificus,97,4.3,4.69,Lys,19_0_52
OP21CENA,21,Leachia pacificus,57,0.65,4.66,Lys,21_0_14
OP24CENA,24,Leachia pacificus,77,1.3,4.85,Lys,24_0_12
OP26CE4,26,Leachia pacificus,87,8,5.83,Lys,26_4_1
OP18CENA,18,Abraliopsis gilchristi,21,1.25,-0.4,Phe,18_0_11
OP18CENA,18,Abraliopsis gilchristi,27,2.5,0.1,Phe,18_0_13
OP19CENA,19,Abraliopsis gilchristi,43,4.9,3.16,Phe,19_0_18
OP20CENA,20,Abraliopsis gilchristi,35,3.5,,Phe,20_0_1
OP18CENA,18,Leachia pacificus,54,0.6,2.46,Phe,18_0_51
OP17CENA,17,Leachia pacificus,95,7,1.84,Phe,17_0_8
OP19CENA,19,Leachia pacificus,97,4.3,1.99,Phe,19_0_52
OP21CENA,21,Leachia pacificus,57,0.65,2.2,Phe,21_0_14
OP24CENA,24,Leachia pacificus,77,1.3,2.56,Phe,24_0_12
OP26CE4,26,Leachia pacificus,87,8,2.53,Phe,26_4_1
